"","country","Sex","Year","ax","rhobar","phibar","H","D","Dc","mort","int","adot"
"298","England and Wales","Males",1912,9.05321079323123,-0.0116591841450017,-0.0421916305533198,0.53900937434565,0.242784079794926,7.17165450940619,-0.00628440955137808,-0.0102434561989352,-0.0165278657503133
"299","England and Wales","Males",1913,8.89378625746968,-0.0163690121011128,-0.0489603587386679,0.535695860451562,0.251313969221869,7.06891191747013,-0.00876881202224766,-0.0123044220891413,-0.0210732341113889
"300","England and Wales","Males",1914,8.72683388871165,-0.016463417981544,-0.0529401465407879,0.531534533883636,0.26089379228121,6.9599813011096,-0.00875087520295143,-0.0138117555949491,-0.0225626307979006
"301","England and Wales","Males",1915,8.57556057667091,-0.0118867114273984,-0.0539768271792329,0.526152254670086,0.271489405875008,6.86207366821541,-0.00625422001813837,-0.0146541367419079,-0.0209083567600463
"302","England and Wales","Males",1916,8.46116592890123,-0.00265190444333552,-0.0521898023016557,0.519198649650265,0.283088488849384,6.7913944595127,-0.00137686520598134,-0.0147743322669238,-0.0161511974729051
"303","England and Wales","Males",1917,8.4054357175907,0.0111174155486047,-0.046542829730696,0.510498956835673,0.295394187755698,6.76433951500221,0.0056754290402714,-0.0137484813841507,-0.0080730523438793
"304","England and Wales","Males",1918,8.41277002852597,0.0247695483984738,-0.0376416261254849,0.500568583040968,0.307594828572221,6.78351720546268,0.0123988577443887,-0.0115783695352482,0.000820488209140546
"305","England and Wales","Males",1919,8.46500511135934,0.0322032026591388,-0.0271076899953822,0.490710257853078,0.318380431397175,6.83359990299479,0.0158024418805609,-0.00863055803491065,0.00717188384565028
"306","England and Wales","Males",1920,8.54446833015794,0.0330161603456044,-0.0151930092208841,0.482272670658745,0.32635512131896,6.89914659772219,0.015922791824772,-0.00495831636748172,0.0109644754572903
"307","England and Wales","Males",1921,8.63238025569667,0.0272234016931114,-0.00278460599689031,0.476468623120883,0.33034854942103,6.96414822553857,0.0129710967213835,-0.000919890551781814,0.0120512061696017
"308","England and Wales","Males",1922,8.69880561368337,0.0148659044400324,0.00587748735332146,0.473895784889465,0.330420307663844,7.0067221106001,0.00704488945270093,0.00194204117957483,0.00898693063227576
"309","England and Wales","Males",1923,8.7225683857519,-0.000281705190348495,0.00983240829323796,0.474369187940743,0.327489597614542,7.0131936767944,-0.000133632262384308,0.00322001143553439,0.00308637917315008
"310","England and Wales","Males",1924,8.70995630502319,-0.0106452035195077,0.0098203413909282,0.476569229317352,0.323281918353966,6.99140816804621,-0.00507317643721813,0.00317473880375012,-0.00189843763346801
"311","England and Wales","Males",1925,8.67858282973206,-0.0153261134905258,0.00900904445711281,0.479468066029048,0.318758115936696,6.95595994540411,-0.00734838199504413,0.00287170603753922,-0.00447667595750491
"312","England and Wales","Males",1926,8.64944746626242,-0.0143340245282298,0.00870236157071955,0.482225307760411,0.314504141542279,6.92311551031357,-0.00691222938957089,0.00273692875518967,-0.00417530063438122
"313","England and Wales","Males",1927,8.64825543474651,-0.00767449652677911,0.0109234638082615,0.484269397901544,0.310565318993416,6.91149765782772,-0.00371652381222082,0.00339244902212575,-0.000324074790095061
"314","England and Wales","Males",1928,8.69519662351247,0.00263925202952051,0.0163038913992178,0.485416544031688,0.30657499343717,6.93484289308087,0.00128113659899847,0.00499836539871552,0.00627950199771398
"315","England and Wales","Males",1929,8.78764926807771,0.0102289717298452,0.0245081699152007,0.486397690976165,0.301482723632707,6.98885599750358,0.00497534823045718,0.00738878981728789,0.0123641380477451
"316","England and Wales","Males",1930,8.91365695512286,0.0138302152829175,0.0334637129938904,0.487847044881408,0.294659231171754,7.06312381276581,0.006747029655845,0.00986039194293197,0.016607421598777
"317","England and Wales","Males",1931,9.05949491720221,0.013425954433573,0.04281872818588,0.490324934322017,0.28563100114895,7.14624740288716,0.00658308022585206,0.0122303561996577,0.0188134364255097
"318","England and Wales","Males",1932,9.20699375325846,0.00899606711332831,0.0513474887209156,0.494215034879955,0.274307671374835,7.22454648314071,0.00444599162219597,0.01408501006198,0.0185310016841759
